,,comp_name,"Cryptoxanthin, beta",Sucrose,Glucose (dextrose),Fructose,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,4:0,6:0,8:0,"20:2 n-6 c,c","18:2 n-6 c,c","18:3 n-3 c,c,c (ALA)",Vitamin E (alpha-tocopherol),"Tocopherol, delta","Tocotrienol, alpha","Tocotrienol, gamma",Thiamin,Niacin,Vitamin B-6,"Choline, total",Betaine,Stigmasterol,Beta-sitosterol,Daidzein,Genistein,Glycitein,(+)-Catechin,(-)-Epicatechin,Apigenin,Luteolin
"Raspberries, frozen, unsweetened",Fruits and Fruit Juices,,0,0.2,1.86,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0.00104,0,0,3.20E-05,0.000598,5.50E-05,0.0123,0.0008,0,0,0,0,0,0,0,0,0
"Strawberries, frozen, unsweetened",Fruits and Fruit Juices,,0,0.37,2.02,2.17,0.005,0.013,0.01,0.022,0.017,0.001,0.004,0.012,0.014,0.012,0.018,0.008,0.021,0.096,0.063,0.017,0.013,0.016,0,0,0,0,0,0,0,0.00029,0,0,0,2.20E-05,0.000462,2.80E-05,0.0057,0,0,0,0,0,0,0.00344,0.00047,1.00E-05,2.00E-05
"Blackberries, frozen, unsweetened",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,0,0,0,2.90E-05,0.001207,6.10E-05,0.0085,0,0,0,0,0,0,0.02335,0.00293,0,0
"Boysenberries, frozen, unsweetened",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0,5.30E-05,0.000767,5.60E-05,0.0102,0,0,0,0,0,0,0.02335,0.00293,0,0
"Cherries, sour, red, frozen, unsweetened",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,4.40E-05,0.000137,6.70E-05,0.0056,0,0,0,0,0,0,0.00018,0.00225,0,0
"Strawberries, raw",Fruits and Fruit Juices,,0,0.47,1.99,2.44,0.008,0.02,0.016,0.034,0.026,0.002,0.006,0.019,0.022,0.019,0.028,0.012,0.033,0.149,0.098,0.026,0.02,0.025,0,0,0,0,0,0,0,0.00029,1.00E-05,1.00E-05,0,2.40E-05,0.000386,4.70E-05,0.0057,0.0002,0,0,0,0,0,0.00311,0.00042,0,0
"Strawberry tree fruit (arbutus), raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00665,0.00156,0,0
"Figs, raw",Fruits and Fruit Juices,,0,0,0,0,0.006,0.024,0.023,0.033,0.03,0.006,0.012,0.018,0.032,0.028,0.017,0.011,0.045,0.176,0.072,0.025,0.049,0.037,0,0,0,0,0,0,0,0.00011,0,0,0,6.00E-05,0.0004,0.000113,0.0047,0,0,0,0,0,0,0.00159,0.0005,0,0
"Limes, raw",Fruits and Fruit Juices,,0,0,0,0,0.003,0,0,0,0.014,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022,0,0,0,3.00E-05,0.0002,4.30E-05,0.0051,0,0,0,0,0,0,0,0,0,0.00203
"Pears, raw",Fruits and Fruit Juices,,2.00E-06,0.71,2.6,6.42,0.002,0.011,0.011,0.019,0.017,0.002,0.002,0.011,0.002,0.017,0.01,0.002,0.014,0.105,0.03,0.013,0.021,0.015,0,0,0,0,0,0,0,0.00012,0,2.00E-05,0,1.20E-05,0.000161,2.90E-05,0.0051,0.0002,0,0,0,0,0,0.00027,0.00376,0,0
"Plums, raw",Fruits and Fruit Juices,,3.50E-05,1.57,5.07,3.07,0.009,0.01,0.014,0.015,0.016,0.008,0.002,0.014,0.008,0.016,0.009,0.009,0.028,0.352,0.035,0.009,0.027,0.023,0,0,0,0,0,0,0,0.00026,0,4.00E-05,1.00E-05,2.80E-05,0.000417,2.90E-05,0.0019,0,0,0,0,3.33E-06,0,0.00289,0.0032,0,0
"Pears, raw, bartlett",Fruits and Fruit Juices,,3.00E-06,0.43,2.5,6.76,0.002,0.012,0.012,0.02,0.018,0.002,0.002,0.011,0.002,0.018,0.011,0.002,0.015,0.111,0.032,0.013,0.022,0.016,0,0,0,0,0,0,0,0.00012,0,0,0,1.20E-05,0.000164,2.60E-05,0.0051,0,0,0,0,0,0,0,0,0,0
"Pears, raw, red anjou",Fruits and Fruit Juices,,1.00E-06,0.26,2.74,6.48,0.001,0.01,0.01,0.017,0.015,0.002,0.001,0.01,0.001,0.015,0.009,0.001,0.012,0.094,0.027,0.011,0.019,0.014,0,0,0,0,0,0,0,0.00012,0,0,0,1.20E-05,0.000162,3.90E-05,0.0051,0,0,0,0,0,0,0,0,0,0
"Pears, raw, bosc",Fruits and Fruit Juices,,0,2.11,2.48,5.64,0.002,0.011,0.011,0.018,0.016,0.002,0.001,0.01,0.002,0.016,0.01,0.001,0.013,0.101,0.029,0.012,0.02,0.015,0,0,0,0,0,0,0,0.00012,0,0,0,1.20E-05,0.000152,2.10E-05,0.0051,0,0,0,0,0,0,0,0,0,0
"Pears, raw, green anjou",Fruits and Fruit Juices,,1.00E-06,0.33,3.33,6.06,0.002,0.014,0.013,0.022,0.02,0.003,0.002,0.013,0.002,0.02,0.012,0.002,0.016,0.124,0.036,0.015,0.025,0.018,0,0,0,0,0,0,0,0.00012,0,0,0,1.00E-05,0.000151,2.60E-05,0.0051,0,0,0,0,0,0,0,0,0,0
"Rowal, raw",Fruits and Fruit Juices,,0,12.5,1.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apples, raw, with skin",Fruits and Fruit Juices,,1.10E-05,2.07,2.43,5.9,0.001,0.006,0.006,0.013,0.012,0.001,0.001,0.006,0.001,0.012,0.006,0.005,0.011,0.07,0.025,0.009,0.006,0.01,0,0,0,0,0,0,0,0.00018,0,0,0,1.70E-05,9.10E-05,4.10E-05,0.0034,0.0001,0,0,0,0,0,0.0013,0.00753,0,0.00012
"Apples, raw, without skin",Fruits and Fruit Juices,,1.30E-05,0.82,3.25,6.03,0.001,0.006,0.006,0.014,0.013,0.001,0.001,0.007,0.001,0.012,0.006,0.005,0.012,0.074,0.026,0.009,0.006,0.011,0,0,0,0,0,0,0,5.00E-05,0,0,0,1.90E-05,9.10E-05,3.70E-05,0.0034,0,0,0,0,0,0,0.00123,0.00625,0,1.00E-05
"Mangos, raw",Fruits and Fruit Juices,,1.00E-05,6.97,2.01,4.68,0.013,0.031,0.029,0.05,0.066,0.008,0,0.027,0.016,0.042,0.031,0.019,0.082,0.068,0.096,0.034,0.029,0.035,0,0,0,0,0,0,0,0.0009,0,3.00E-05,0,2.80E-05,0.000669,0.000119,0.0076,0,0,0,0,0,0,0.00172,0,1.00E-05,2.00E-05
"Feijoa, raw",Fruits and Fruit Juices,,3.00E-06,2.93,2.32,2.95,0.007,0.019,0.019,0.028,0.038,0.007,0.007,0.019,0.009,0.019,0.019,0.009,0.038,0.075,0.132,0.028,0.019,0.028,0,0.004,0,0,0,0.107,0.029,0.00016,0,0,1.00E-05,6.00E-06,0.000295,6.70E-05,0,0,0,0,0,0,0,0,0,0,0
"Durian, raw or frozen",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000374,0.001074,0.000316,0,0,0,0,0,0,0,0,0,0,0
"Apples, raw, red delicious, with skin",Fruits and Fruit Juices,,1.20E-05,1.86,2.71,5.9,0.001,0.006,0.006,0.013,0.013,0.001,0.001,0.007,0.001,0.012,0.006,0.005,0.012,0.073,0.026,0.009,0.006,0.011,0,0,0,0,0,0,0,0.00024,0,0,0,1.50E-05,7.50E-05,3.40E-05,0.0034,0,0,0,0,0,0,0,0,0,0
"Apples, raw, golden delicious, with skin",Fruits and Fruit Juices,,1.20E-05,2.07,1.87,6.1,0.001,0.006,0.006,0.014,0.013,0.001,0.001,0.007,0.001,0.013,0.006,0.005,0.012,0.075,0.026,0.009,0.006,0.011,0,0,0,0,0,0,0,0.00018,0,0,0,1.80E-05,9.40E-05,5.10E-05,0.0051,0,0,0,0,0,0,0,0,0,0
"Apples, raw, granny smith, with skin",Fruits and Fruit Juices,,2.00E-06,1.93,2.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,1.90E-05,0.000126,3.70E-05,0.0034,0,0,0,0,0,0,0,0,0,0
"Apples, raw, gala, with skin",Fruits and Fruit Juices,,1.10E-05,2.78,1.66,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,1.70E-05,7.50E-05,4.90E-05,0.0034,0,0,0,0,0,0,0,0,0,0
"Apples, raw, fuji, with skin",Fruits and Fruit Juices,,1.10E-05,2.21,3,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,1.30E-05,7.00E-05,4.50E-05,0.0034,0,0,0,0,0,0,0,0,0,0
"Jujube, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.0009,8.10E-05,0,0,0,0,0,0,0,0.00321,0.00031,0,0
"Bananas, raw",Fruits and Fruit Juices,,0,2.39,4.98,4.85,0.009,0.028,0.028,0.068,0.05,0.008,0.009,0.049,0.009,0.047,0.049,0.077,0.04,0.124,0.152,0.038,0.028,0.04,0,0,0,0,0,0,0,0.0001,1.00E-05,6.00E-05,0,3.10E-05,0.000665,0.000367,0.0098,0.0001,0,0,0,0,0,0.0061,2.00E-05,0,0
"Litchis, raw",Fruits and Fruit Juices,,0,0,0,0,0.007,0,0,0,0.041,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0,0,0,1.10E-05,0.000603,0.0001,0.0071,0,0,0,0,0,0,0.00176,0.0017,0,0
"Oranges, raw, all commercial varieties",Fruits and Fruit Juices,,0.000116,0,0,0,0.009,0.015,0.025,0.023,0.047,0.02,0.01,0.031,0.016,0.04,0.065,0.018,0.05,0.114,0.094,0.094,0.046,0.032,0,0,0,0,0,0,0,0.00018,0,0,0,8.70E-05,0.000282,6.00E-05,0.0084,0,0,0,0,0,0,0,0,0,0.00019
"Oranges, raw, navels",Fruits and Fruit Juices,,0.000116,4.28,1.97,2.25,0.009,0.018,0.017,0.029,0.038,0.009,0.01,0.021,0.013,0.026,0.115,0.013,0.032,0.139,0.247,0.023,0.181,0.037,0,0,0,0,0,0,0,0.00015,0,1.00E-05,0,6.80E-05,0.000425,7.90E-05,0.0084,0.0001,0,0,0,0,0,0,0,0,0.0007
"Oranges, raw, Florida",Fruits and Fruit Juices,,0.000116,0,0,0,0.007,0.011,0.019,0.017,0.035,0.015,0.007,0.023,0.012,0.03,0.049,0.013,0.038,0.085,0.071,0.071,0.035,0.024,0,0,0,0,0,0,0,0.00018,0,0,0,0.0001,0.0004,5.10E-05,0.0084,0,0,0,0,0,0,0,0,0,0.00019
"Papayas, raw",Fruits and Fruit Juices,,0.000589,0,4.09,3.73,0.008,0.011,0.008,0.016,0.025,0.002,0,0.009,0.005,0.01,0.01,0.005,0.014,0.049,0.033,0.018,0.01,0.015,0,0,0,0,0,0,0,0.0003,1.00E-05,0,1.00E-05,2.30E-05,0.000357,3.80E-05,0.0061,0,0,0,0,0,0,0,0,1.00E-05,2.00E-05
"Pummelo, raw",Fruits and Fruit Juices,,1.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40E-05,0.00022,3.60E-05,0,0,0,0,0,0,0,0,0,0,0
"Rhubarb, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,2.00E-05,0.0003,2.40E-05,0.0061,0,0,0,0,0,0,0.00217,0.00051,0,0
"Soursop, raw",Fruits and Fruit Juices,,0,0,0,0,0.011,0,0,0,0.06,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-05,0,0,0,7.00E-05,0.0009,5.90E-05,0.0076,0,0,0,0,0,0,0.00038,0.00372,0,0
"Abiyuch, raw",Fruits and Fruit Juices,,0,0.05,4.5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loquats, raw",Fruits and Fruit Juices,,0,0,0,0,0.005,0.015,0.015,0.026,0.023,0.004,0.006,0.014,0.013,0.021,0.014,0.007,0.024,0.058,0.061,0.02,0.027,0.02,0,0,0,0,0,0,0,0,0,0,0,1.90E-05,0.00018,0.0001,0,0,0,0,0,0,0,0,0,0,0
"Oranges, raw, California, valencias",Fruits and Fruit Juices,,0,0,0,0,0.01,0.017,0.028,0.026,0.053,0.022,0.011,0.034,0.018,0.044,0.073,0.02,0.056,0.127,0.105,0.105,0.052,0.036,0,0,0,0,0,0,0,0,0,0,0,8.70E-05,0.000274,6.30E-05,0,0,0,0,0,0,0,0,0,0,0
"Longans, raw",Fruits and Fruit Juices,,0,0,0,0,0,0.034,0.026,0.054,0.046,0.013,0,0.03,0.025,0.058,0.035,0.012,0.157,0.126,0.209,0.042,0.042,0.048,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0.0003,0,0,0,0,0,0,0,0,0,0,0,0
"Quinces, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.0002,4.00E-05,0,0,0,0,0,0,0,0.00075,0.00067,0,0
"Roselle, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E-05,0.00031,0,0,0,0,0,0,0,0,0,0,0,0
"Peaches, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492,0.00234,0,0
"Apricots, raw",Fruits and Fruit Juices,,0.000104,5.87,2.37,0.94,0.015,0.047,0.041,0.077,0.097,0.006,0.003,0.052,0.029,0.047,0.045,0.027,0.068,0.314,0.157,0.04,0.101,0.083,0,0,0,0,0,0,0,0.00089,0,0,0,3.00E-05,0.0006,5.40E-05,0.0028,0,0,0,0,0,0,0.00367,0.00474,0,0
"Avocados, raw, all commercial varieties",Fruits and Fruit Juices,,2.80E-05,0.06,0.37,0.12,0.025,0.073,0.084,0.143,0.132,0.038,0.027,0.097,0.049,0.107,0.088,0.049,0.109,0.236,0.287,0.104,0.098,0.114,0,0,0,0.001,0,0,0.111,0.00207,2.00E-05,1.00E-05,0,6.70E-05,0.001738,0.000257,0.0142,0.0007,0.002,0.076,0,0,0,0,0.00037,0,0
"Avocados, raw, California",Fruits and Fruit Juices,,2.70E-05,0.06,0.08,0.08,0.025,0.072,0.083,0.141,0.129,0.037,0.027,0.095,0.048,0.105,0.087,0.048,0.106,0.232,0.282,0.102,0.096,0.112,0,0,0,0.001,0,0,0.111,0.00197,2.00E-05,1.00E-05,0,7.50E-05,0.001912,0.000287,0.0142,0.0007,0.002,0.076,0,0,0,0,0,0,0
"Avocados, raw, Florida",Fruits and Fruit Juices,,3.60E-05,0,2.17,0.25,0.028,0.082,0.094,0.16,0.147,0.042,0.031,0.108,0.054,0.12,0.099,0.055,0.121,0.264,0.321,0.116,0.11,0.128,0,0,0,0,0,0,0,0.00266,0,0,0,2.10E-05,0.000672,7.80E-05,0,0,0,0,0,0,0,0,0,0,0
"Kumquats, raw",Fruits and Fruit Juices,,0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,3.70E-05,0.000429,3.60E-05,0.0084,0,0,0,0,0,0,0,0,0.02187,0
"Guavas, strawberry, raw",Fruits and Fruit Juices,,0,0,0,0,0.005,0.022,0.021,0.039,0.016,0.004,0,0.001,0.007,0.02,0.015,0.005,0.029,0.037,0.076,0.029,0.018,0.017,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0.0006,0,0,0,0,0,0,0,0,0,0,0,0
"Cherimoya, raw",Fruits and Fruit Juices,,1.00E-06,0.66,5.93,6.28,0.031,0.052,0.042,0.063,0.042,0.021,0.01,0.042,0.031,0.063,0.031,0.021,0.063,0.105,0.199,0.052,0.157,0.063,0,0,0,0,0,0.028,0.159,0.00027,0,0,3.00E-05,0.000101,0.000644,0.000257,0,0,0,0,0,0,0,0,0,0,0
"Jackfruit, raw",Fruits and Fruit Juices,,5.00E-06,0.42,9.48,9.19,0.034,0.086,0.069,0.103,0.069,0.034,0.017,0.052,0.103,0.086,0.138,0.034,0.086,0.172,0.189,0.086,0.017,0.103,0,0,0,0,0,0.015,0.079,0.00034,0,5.00E-05,0,0.000105,0.00092,0.000329,0,0,0,0,0,0,0,0,0,0,0
"Pineapple, raw, all varieties",Fruits and Fruit Juices,,0,5.99,1.73,2.12,0.005,0.019,0.019,0.024,0.026,0.012,0.014,0.021,0.019,0.024,0.019,0.01,0.033,0.121,0.079,0.024,0.017,0.035,0,0,0,0,0,0,0,2.00E-05,0,2.00E-05,0,7.90E-05,0.0005,0.000112,0.0055,0.0001,0,0,0,0,0,0,0,0,1.00E-05
"Plantains, raw",Fruits and Fruit Juices,,0,0,0,0,0.015,0.034,0.036,0.059,0.06,0.017,0.02,0.044,0.032,0.046,0.108,0.064,0.051,0.108,0.116,0.045,0.05,0.041,0,0,0,0,0,0,0,0.00014,0,0,0,5.20E-05,0.000686,0.000299,0.0135,0,0,0,0,0,0,0.00844,2.00E-05,0,0
"Tamarinds, raw",Fruits and Fruit Juices,,0,0,0,0,0.018,0,0,0,0.139,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.000428,0.001938,6.60E-05,0.0086,0,0,0,0,0,0,0,0,0,0
"Pineapple, raw, traditional varieties",Fruits and Fruit Juices,,0,4.59,1.76,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80E-05,0.00047,0.000106,0.0056,0.0001,0,0,0,0,0,0,0,0,0
"Pineapple, raw, extra sweet variety",Fruits and Fruit Juices,,0,6.47,1.7,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0,2.00E-05,0,8.00E-05,0.000507,0.000114,0.0054,0.0001,0,0,0,0,0,0,0,0,0
"Sapodilla, raw",Fruits and Fruit Juices,,0,0,0,0,0.005,0.012,0.015,0.024,0.039,0.003,0,0.013,0.014,0.016,0.017,0.016,0.014,0.032,0.038,0.017,0.036,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,3.70E-05,0,0,0,0,0,0,0,0,0,0,0
"Breadfruit, raw",Fruits and Fruit Juices,,0,0,0,0,0,0.052,0.064,0.065,0.037,0.01,0.009,0.026,0.019,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.00011,0.0009,0.0001,0.0098,0,0,0,0,0,0,0,0,0,0
"Grapefruit, raw, pink and red and white, all areas",Fruits and Fruit Juices,,6.00E-06,0,0,0,0.006,0.011,0.007,0.012,0.016,0.006,0.006,0.038,0.006,0.012,0.07,0.006,0.02,0.111,0.16,0.012,0.051,0.022,0,0,0,0,0,0,0,0.00013,0,0,0,3.60E-05,0.00025,4.20E-05,0.0077,0,0,0,0,0,0,0,0,0,0.0003
"Grapefruit, raw, pink and red, all areas",Fruits and Fruit Juices,,6.00E-06,3.51,1.61,1.77,0.008,0.013,0.008,0.015,0.019,0.007,0.008,0.013,0.008,0.015,0.087,0.008,0.024,0.138,0.197,0.015,0.063,0.028,0,0,0,0,0,0,0,0.00013,0,2.00E-05,0,4.30E-05,0.000204,5.30E-05,0.0077,0.0001,0,0,0,0,0,0,0,0,0.0006
"Grapefruit, raw, white, all areas",Fruits and Fruit Juices,,3.00E-06,0,0,0,0.007,0.012,0.007,0.013,0.017,0.007,0.007,0.041,0.007,0.014,0.078,0.007,0.022,0.123,0.176,0.013,0.056,0.025,0,0,0,0,0,0,0,0.00013,0,0,0,3.70E-05,0.000269,4.30E-05,0.0077,0,0,0,4.00E-05,3.00E-05,0,0,0,0,0
"Mulberries, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0,2.90E-05,0.00062,5.00E-05,0.0123,0,0,0,0,0,0,0.03853,0.00484,0,0
"Nectarines, raw",Fruits and Fruit Juices,,9.80E-05,4.87,1.57,1.37,0.005,0.009,0.009,0.014,0.016,0.006,0.005,0.021,0.007,0.013,0.009,0.008,0.017,0.568,0.034,0.011,0.01,0.018,0,0,0,0,0,0,0,0.00077,1.00E-05,0,0,3.40E-05,0.001125,2.50E-05,0.0062,0.0002,0,0,0,0,0,0.00298,0.00254,0,0
"Watermelon, raw",Fruits and Fruit Juices,,7.80E-05,1.21,1.58,3.36,0.007,0.027,0.019,0.018,0.062,0.006,0.002,0.015,0.012,0.016,0.059,0.006,0.017,0.039,0.063,0.01,0.024,0.016,0,0,0,0,0,0,0,5.00E-05,0,1.00E-05,0,3.30E-05,0.000178,4.50E-05,0.0041,0.0003,0,0,0,0,0,0,0,0,0.00046
"Crabapples, raw",Fruits and Fruit Juices,,0,0,0,0,0.004,0.014,0.016,0.025,0.025,0.004,0.005,0.011,0.008,0.019,0.013,0.006,0.014,0.07,0.042,0.016,0.014,0.016,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0.0001,0,0,0,0,0,0,0,0,0,0,0,0
"Grapefruit, raw, pink and red, California and Arizona",Fruits and Fruit Juices,,0,0,0,0,0.005,0.009,0.005,0.009,0.012,0.005,0.005,0.03,0.005,0.01,0.056,0.005,0.016,0.089,0.128,0.01,0.041,0.018,0,0,0,0,0,0,0,0,0,0,0,3.40E-05,0.000191,4.20E-05,0,0,0,0,0,0,0,0,0,0,0
"Grapefruit, raw, pink and red, Florida",Fruits and Fruit Juices,,0,0,0,0,0.006,0.009,0.006,0.01,0.014,0.005,0.006,0.033,0.006,0.011,0.062,0.006,0.017,0.098,0.141,0.011,0.045,0.02,0,0,0,0,0,0,0,0,0,0,0,4.00E-05,0.0002,4.20E-05,0,0,0,0,0,0,0,0,0,0,0
"Grapefruit, raw, white, California",Fruits and Fruit Juices,,0,0,0,0,0.009,0.015,0.009,0.017,0.022,0.008,0.009,0.053,0.009,0.017,0.099,0.009,0.028,0.157,0.225,0.017,0.072,0.032,0,0,0,0,0,0,0,0,0,0,0,3.70E-05,0.000269,4.30E-05,0,0,0,0,0,0,0,0,0,0,0
"Grapefruit, raw, white, Florida",Fruits and Fruit Juices,,0,0,0,0,0.006,0.011,0.007,0.012,0.016,0.006,0.006,0.038,0.006,0.012,0.07,0.006,0.02,0.111,0.16,0.012,0.051,0.022,0,0,0,0,0,0,0,0,0,0,0,4.00E-05,0.0002,4.30E-05,0,0,0,0,0,0,0,0,0,0,0
"Persimmons, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063,0,0,0.00014
"Star apple, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0.00073,0,0
"Blueberries, raw",Fruits and Fruit Juices,,0,0.11,4.88,4.97,0.003,0.02,0.023,0.044,0.013,0.012,0.008,0.026,0.009,0.031,0.037,0.011,0.031,0.057,0.091,0.031,0.028,0.022,0,0,0,0,0,0,0,0.00057,3.00E-05,0,7.00E-05,3.70E-05,0.000418,5.20E-05,0.006,0.0002,0,0,0,0,0,0,0,0,0
"Cranberries, raw",Fruits and Fruit Juices,,0,0.16,3.44,0.67,0.003,0.028,0.033,0.053,0.039,0.003,0.003,0.036,0.032,0.045,0.056,0.018,0.049,0.188,0.146,0.048,0.031,0.051,0,0,0,0,0,0,0,0.00132,0,0,0.00029,1.20E-05,0.000101,5.70E-05,0.0055,0.0002,0,0,0,0,0,0.00039,0.00437,0,0
"Raspberries, raw",Fruits and Fruit Juices,,0,0.2,1.86,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0.00104,0,0,3.20E-05,0.000598,5.50E-05,0.0123,0.0008,0,0,0,0,0,0.00131,0.00352,0,0
"Clementines, raw",Fruits and Fruit Juices,,0,5.96,1.59,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,8.60E-05,0.000636,7.50E-05,0.014,0.0001,0,0,0,0,0,0,0,0,0
"Rose-apples, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-05,0.0008,0,0,0,0,0,0,0,0,0,0,0,0
"Grape seeds, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07463,0.09331,0,0
"Grapes, red, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0.00096,0,0.0013
"Blackberries, raw",Fruits and Fruit Juices,,0,0.07,2.31,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117,0.0009,0,0,2.00E-05,0.000646,3.00E-05,0.0085,0.0003,0,0,0,0,0,0.03706,0.00466,0,0
"Pomegranates, raw",Fruits and Fruit Juices,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,6.70E-05,0.000293,7.50E-05,0.0076,0,0,0.004,0,0,0,0.0004,8.00E-05,0,0
"Pears, asian, raw",Fruits and Fruit Juices,,0,0,0,0,0.005,0.013,0.014,0.025,0.017,0.006,0.005,0.013,0.004,0.018,0.009,0.005,0.017,0.098,0.036,0.014,0.016,0.018,0,0,0,0,0,0,0,0.00012,0,0,0,9.00E-06,0.000219,2.20E-05,0.0051,0,0,0,0,0,0,0.00019,0.00271,0,0
